"1","1","1"
"1","2","0"
"2","3","1"
"2","4","0"
"3","1","1"
"3","6","0"
"4","7","1"
"5","7","1"
"6","7","1"
"7","7","1"
"8","7","1"
"9","7","1"
"10","7","1"
"11","7","1"
"12","7","1"
"13","7","1"
"14","7","1"
"15","7","1"
"16","7","1"
"17","1","1"
"17","21","0"
"18","22","1"
"19","22","1"
"20","22","1"
"21","22","1"
"22","22","1"
"23","22","1"
"24","22","1"
"25","22","1"
"26","22","1"
"27","31","1"
"27","32","0"
"28","32","1"
"28","34","0"
"29","32","1"
"29","36","0"
"30","37","1"
"31","37","1"
"32","37","1"
"33","37","1"
"34","37","1"
"35","37","1"
"36","1","1"
"36","44","0"
"37","1","1"
"37","44","0"
"37","47","0"
"37","48","0"
"38","1","1"
"38","50","0"
"39","50","1"
"40","52","1"
"41","53","1"
"42","54","1"
"43","55","1"
"44","55","1"
"45","55","1"
"46","55","1"
"47","31","1"
"47","60","0"
"48","61","1"
"48","62","0"
"49","3","1"
"49","64","0"
"49","65","0"
"50","31","0"
"50","32","0"
"50","66","1"
"51","69","1"
"52","1","1"
"52","71","0"
"53","3","1"
"54","3","1"
"54","74","0"
"55","55","1"
"56","76","1"
"57","69","1"
"58","3","1"
"59","79","1"
"60","79","1"
"61","3","1"
"61","82","0"
"62","3","1"
"62","84","0"
"63","85","1"
"63","86","0"
"63","87","0"
"64","88","1"
"65","64","0"
"65","65","1"
"66","91","1"
"66","92","0"
"66","93","0"
"67","91","1"
"67","92","0"
"67","93","0"
"68","91","1"
"68","92","0"
"68","93","0"
"69","91","1"
"69","92","0"
"69","93","0"
"70","91","1"
"70","92","0"
"70","93","0"
"71","106","1"
"72","106","1"
"73","106","1"
"74","106","1"
"75","106","1"
"76","31","1"
"76","112","0"
"76","113","0"
"77","31","1"
"77","112","0"
"77","113","0"
"78","31","1"
"78","112","0"
"78","113","0"
"79","31","1"
"79","112","0"
"79","113","0"
"80","31","1"
"81","31","1"
"82","31","1"
"83","31","1"
"84","127","1"
"85","127","1"
"86","127","1"
"87","127","1"
"88","127","1"
"89","132","1"
"90","132","1"
"91","132","1"
"92","132","1"
"93","132","1"
"94","132","1"
"95","138","1"
"96","138","1"
"97","138","1"
"98","138","1"
"99","69","0"
"99","142","1"
"99","144","0"
"100","69","0"
"100","142","1"
"100","144","0"
"101","69","0"
"101","142","1"
"101","144","0"
"102","69","0"
"102","142","1"
"102","144","0"
"103","69","1"
"104","69","1"
"105","69","1"
"106","69","1"
"107","158","1"
"108","158","1"
"109","158","1"
"110","161","1"
"111","161","1"
"112","161","1"
"113","161","1"
"114","161","1"
"115","161","1"
"116","161","1"
"117","161","1"
"118","161","1"
"119","161","1"
"120","161","1"
"121","161","1"
"122","161","1"
"123","161","1"
"124","161","1"
"125","161","1"
"126","161","1"
"127","161","1"
"128","161","1"
"129","161","1"
"130","161","1"
"131","161","1"
"132","161","1"
"133","161","1"
"134","161","1"
"135","161","1"
"136","161","1"
"137","161","1"
"138","161","1"
"139","161","1"
"140","161","1"
"141","161","1"
"142","161","1"
"143","161","1"
"144","161","1"
"145","161","1"
"146","161","1"
"147","161","1"
"148","161","1"
"149","161","1"
"150","201","1"
"151","201","1"
"152","201","1"
"153","201","1"
"154","201","1"
"155","31","0"
"155","32","0"
"155","66","1"
"156","31","0"
"156","32","0"
"156","66","1"
"157","31","0"
"157","32","0"
"157","66","1"
"158","31","0"
"158","32","0"
"158","66","1"
